wl	n
0.188	0.84
0.192	0.85
0.195	0.85
0.199	0.85
0.203	0.86
0.207	0.87
0.212	0.89
0.216	0.91
0.221	0.92
0.226	0.94
0.231	0.97
0.237	1.00
0.243	1.04
0.249	1.08
0.255	1.11
0.262	1.13
0.269	1.16
0.276	1.19
0.284	1.18
0.292	1.18
0.301	1.20
0.311	1.21
0.320	1.21
0.332	1.20
0.342	1.22
0.354	1.23
0.368	1.24
0.381	1.26
0.397	1.30
0.413	1.33
0.431	1.37
0.451	1.41
0.471	1.46
0.496	1.52
0.521	1.57
0.549	1.64
0.582	1.68
0.617	1.75
0.659	1.80
0.704	1.86
0.756	1.95
0.821	2.06
0.892	2.23
0.984	2.34
1.088	2.52
1.216	2.66
1.393	2.80
1.610	3.01
1.937	3.34

wl	k
0.188	1.38
0.192	1.42
0.195	1.46
0.199	1.50
0.203	1.55
0.207	1.60
0.212	1.65
0.216	1.70
0.221	1.76
0.226	1.81
0.231	1.86
0.237	1.91
0.243	1.95
0.249	1.99
0.255	2.03
0.262	2.07
0.269	2.10
0.276	2.13
0.284	2.18
0.292	2.23
0.301	2.29
0.311	2.35
0.320	2.42
0.332	2.50
0.342	2.57
0.354	2.65
0.368	2.74
0.381	2.83
0.397	2.93
0.413	3.03
0.431	3.14
0.451	3.26
0.471	3.39
0.496	3.54
0.521	3.68
0.549	3.84
0.582	4.02
0.617	4.21
0.659	4.42
0.704	4.65
0.756	4.89
0.821	5.19
0.892	5.50
0.984	5.89
1.088	6.33
1.216	6.90
1.393	7.65
1.610	8.59
1.937	9.89
