wl;n;k
0.399997;1.26836;2.80481
0.400358;1.26913;2.80737
0.400721;1.26989;2.80993
0.401084;1.27067;2.8125
0.401447;1.27144;2.81507
0.401812;1.27221;2.81765
0.402177;1.27299;2.82022
0.402542;1.27376;2.82281
0.402909;1.27454;2.82539
0.403275;1.27532;2.82798
0.403643;1.27611;2.83057
0.404011;1.27689;2.83317
0.40438;1.27768;2.83577
0.40475;1.27846;2.83838
0.40512;1.27925;2.84099
0.405491;1.28004;2.8436
0.405863;1.28084;2.84621
0.406235;1.28163;2.84884
0.406608;1.28243;2.85146
0.406982;1.28322;2.85409
0.407357;1.28402;2.85672
0.407732;1.28483;2.85935
0.408108;1.28563;2.86199
0.408484;1.28643;2.86464
0.408861;1.28724;2.86729
0.409239;1.28805;2.86994
0.409618;1.28886;2.87259
0.409997;1.28967;2.87525
0.410377;1.29048;2.87792
0.410758;1.2913;2.88058
0.411139;1.29211;2.88325
0.411521;1.29293;2.88593
0.411904;1.29375;2.88861
0.412288;1.29458;2.89129
0.412672;1.2954;2.89398
0.413057;1.29623;2.89667
0.413442;1.29706;2.89937
0.413829;1.29789;2.90207
0.414216;1.29872;2.90477
0.414604;1.29955;2.90748
0.414992;1.30039;2.91019
0.415382;1.30122;2.91291
0.415772;1.30206;2.91563
0.416163;1.3029;2.91835
0.416554;1.30375;2.92108
0.416946;1.30459;2.92381
0.417339;1.30544;2.92655
0.417733;1.30629;2.92929
0.418128;1.30714;2.93203
0.418523;1.30799;2.93478
0.418919;1.30884;2.93754
0.419315;1.3097;2.94029
0.419713;1.31056;2.94306
0.420111;1.31142;2.94582
0.42051;1.31228;2.94859
0.42091;1.31315;2.95137
0.42131;1.31401;2.95415
0.421712;1.31488;2.95693
0.422114;1.31575;2.95972
0.422516;1.31662;2.96251
0.42292;1.3175;2.9653
0.423324;1.31837;2.9681
0.423729;1.31925;2.97091
0.424135;1.32013;2.97372
0.424542;1.32101;2.97653
0.424949;1.3219;2.97935
0.425358;1.32279;2.98217
0.425767;1.32367;2.985
0.426176;1.32456;2.98783
0.426587;1.32546;2.99066
0.426998;1.32635;2.9935
0.427411;1.32725;2.99635
0.427824;1.32815;2.99919
0.428237;1.32905;3.00205
0.428652;1.32995;3.0049
0.429067;1.33086;3.00777
0.429483;1.33176;3.01063
0.4299;1.33267;3.0135
0.430318;1.33359;3.01638
0.430737;1.3345;3.01926
0.431156;1.33542;3.02214
0.431577;1.33633;3.02503
0.431998;1.33726;3.02793
0.43242;1.33818;3.03082
0.432842;1.3391;3.03373
0.433266;1.34003;3.03663
0.43369;1.34096;3.03954
0.434115;1.34189;3.04246
0.434541;1.34283;3.04538
0.434968;1.34376;3.04831
0.435396;1.3447;3.05124
0.435825;1.34564;3.05417
0.436254;1.34658;3.05711
0.436684;1.34753;3.06006
0.437115;1.34848;3.063
0.437547;1.34943;3.06596
0.43798;1.35038;3.06892
0.438414;1.35133;3.07188
0.438848;1.35229;3.07485
0.439284;1.35325;3.07782
0.43972;1.35421;3.0808
0.440157;1.35517;3.08378
0.440595;1.35614;3.08676
0.441034;1.35711;3.08976
0.441473;1.35808;3.09275
0.441914;1.35905;3.09575
0.442356;1.36003;3.09876
0.442798;1.36101;3.10177
0.443241;1.36199;3.10478
0.443685;1.36297;3.1078
0.44413;1.36396;3.11083
0.444576;1.36494;3.11386
0.445023;1.36594;3.1169
0.445471;1.36693;3.11993
0.44592;1.36792;3.12298
0.446369;1.36892;3.12603
0.446819;1.36992;3.12908
0.447271;1.37093;3.13214
0.447723;1.37193;3.13521
0.448176;1.37294;3.13828
0.44863;1.37395;3.14135
0.449085;1.37496;3.14443
0.449541;1.37598;3.14752
0.449998;1.377;3.1506
0.450456;1.37802;3.1537
0.450915;1.37904;3.1568
0.451374;1.38007;3.1599
0.451835;1.3811;3.16301
0.452297;1.38213;3.16613
0.452759;1.38316;3.16925
0.453222;1.3842;3.17237
0.453687;1.38524;3.1755
0.454152;1.38628;3.17864
0.454618;1.38733;3.18178
0.455086;1.38837;3.18492
0.455554;1.38942;3.18807
0.456023;1.39048;3.19123
0.456493;1.39153;3.19439
0.456964;1.39259;3.19756
0.457436;1.39365;3.20073
0.45791;1.39472;3.2039
0.458384;1.39578;3.20708
0.458859;1.39685;3.21027
0.459335;1.39793;3.21346
0.459812;1.399;3.21666
0.46029;1.40008;3.21986
0.460769;1.40116;3.22307
0.461249;1.40224;3.22629
0.46173;1.40333;3.2295
0.462212;1.40442;3.23273
0.462695;1.40551;3.23596
0.463179;1.40661;3.23919
0.463664;1.40771;3.24243
0.46415;1.40881;3.24568
0.464637;1.40991;3.24893
0.465125;1.41102;3.25218
0.465614;1.41213;3.25544
0.466104;1.41324;3.25871
0.466595;1.41436;3.26198
0.467087;1.41548;3.26526
0.467581;1.4166;3.26854
0.468075;1.41772;3.27183
0.46857;1.41885;3.27513
0.469067;1.41998;3.27843
0.469564;1.42112;3.28173
0.470063;1.42225;3.28504
0.470562;1.42339;3.28836
0.471063;1.42454;3.29168
0.471564;1.42568;3.29501
0.472067;1.42683;3.29834
0.472571;1.42799;3.30168
0.473076;1.42914;3.30502
0.473582;1.4303;3.30837
0.474089;1.43146;3.31173
0.474597;1.43263;3.31509
0.475106;1.4338;3.31845
0.475617;1.43497;3.32183
0.476128;1.43615;3.3252
0.476641;1.43732;3.32859
0.477154;1.43851;3.33198
0.477669;1.43969;3.33537
0.478185;1.44088;3.33877
0.478702;1.44207;3.34218
0.47922;1.44327;3.34559
0.479739;1.44447;3.34901
0.48026;1.44567;3.35243
0.480781;1.44687;3.35586
0.481304;1.44808;3.35929
0.481827;1.44929;3.36273
0.482352;1.45051;3.36618
0.482878;1.45173;3.36963
0.483406;1.45295;3.37309
0.483934;1.45417;3.37656
0.484463;1.4554;3.38002
0.484994;1.45663;3.3835
0.485526;1.45787;3.38698
0.486059;1.45911;3.39047
0.486593;1.46035;3.39396
0.487128;1.4616;3.39746
0.487665;1.46285;3.40097
0.488202;1.4641;3.40448
0.488741;1.46536;3.40799
0.489281;1.46662;3.41152
0.489823;1.46789;3.41505
0.490365;1.46915;3.41858
0.490909;1.47043;3.42212
0.491454;1.4717;3.42567
0.492;1.47298;3.42922
0.492547;1.47426;3.43278
0.493096;1.47555;3.43634
0.493645;1.47684;3.43991
0.494196;1.47813;3.44349
0.494748;1.47943;3.44707
0.495302;1.48073;3.45066
0.495857;1.48204;3.45426
0.496412;1.48334;3.45786
0.49697;1.48466;3.46147
0.497528;1.48597;3.46508
0.498088;1.48729;3.4687
0.498649;1.48862;3.47232
0.499211;1.48995;3.47596
0.499774;1.49128;3.47959
0.500339;1.49261;3.48324
0.500905;1.49395;3.48689
0.501472;1.4953;3.49054
0.502041;1.49665;3.49421
0.502611;1.498;3.49788
0.503182;1.49935;3.50155
0.503755;1.50071;3.50523
0.504328;1.50208;3.50892
0.504903;1.50344;3.51261
0.50548;1.50482;3.51631
